# Nils Haag results presented at INT
# on 11/8/2013 (passed from Patrick Huber) 
# Eneu     yield   error(%)      norm err(%)
# errors are fully correlated with ILL U235
3.00        9.586E-1    3.5   3.3
3.25        7.952E-1    3.1   3.3
3.50        6.603E-1    2.6   3.3
3.75        5.406E-1    2.6   3.3
4.00        4.433E-1    2.6   3.3
4.25        3.498E-1    2.8   3.3
4.50        2.787E-1    2.9   3.3
4.75        2.171E-1    3.3   3.3
5.00        1.700E-1    3.7   3.4
5.25        1.341E-1    4.1   3.4
5.50        1.032E-1    5.0   3.4
5.75        7.737E-2    5.9   3.4
6.00        5.618E-2    7.6   3.4
6.25        3.973E-2    10.6  3.4
6.50        3.048E-2    12.6  3.4
6.75        2.805E-2    11.7  3.4
7.00        2.093E-2    14.1  3.4
7.25        1.139E-2    21.9  3.4
7.50        7.132E-3    30.0  3.4
