#235U: 
#K.Schreckenbach et al., Phys. Lei. B160 (1985),325. red numbers are from:
#F.von Feilitzsch et al., Phys. Lei. B118 (1982),162. 
#
#238 U: 
#P. Vogel et al., Phys. Rev. C 24, No. 4
#Values have been interpolated. The original energy step is 0.5 MeV. 
#
#239Pu, 241Pu:
#A.A.Hahn et al., Phys. Lei. B218 (1989),365. 
#E       yield   corruncer(%)  tot(%)
#1.5         1.86        3       4.2
#1.75        1.57        3       4.2
2           1.30E00     3       4.2
2.25        1.08E00     3       4.2
2.5         9.00E-01    3       4.2
2.75        7.61E-01    3       4.2
3           6.37E-01    3       4.2
3.25        5.36E-01    3       4.2
3.5         4.37E-01    3       4.2
3.75        3.52E-01    3       4.2
4           2.83E-01    3       4.2
4.25        2.23E-01    3       4.2
4.5         1.72E-01    3       4.2
4.75        1.32E-01    3       4.2
5           1.05E-01    3       4.2
5.25        8.21E-02    3       4.2
5.5         6.17E-02    3       4.2
5.75        4.82E-02    3       4.2
6           3.70E-02    3       4.3
6.25        2.70E-02    3       4.3
6.5         2.03E-02    3       4.4
6.75        1.50E-02    3       4.4
7           1.05E-02    3.6     4.7
7.25        6.68E-03    3.6     4.7
7.5         4.29E-03    4.0     5.0
7.75        2.69E-03    4.0     5.4
8           1.36E-03    5.0     6.0
8.25        4.13e-04    5.0     7.0
8.5         2.37e-04    6.0     10.
8.75        1.29e-04    6.0     15.
9           5.60e-05    7.0     27.
9.25        2.20e-05    7.0     31.
9.5         1.40e-05    10.0    56.
