# Kopeikin et al. 0412.044
# Fig. 1. Time-averaged ratio of spent fuel eν  spectrum S_SNF to the reactor eν spectrum S_R above the inverse beta-decay
# Enu, MeV S_SNF/S_R
1.50637    0.0123305
1.53503    0.0123941
1.5414    0.0121081
1.54459    0.0114725
1.54777    0.0111547
1.55096    0.0108369
1.57006    0.0109322
1.59873    0.0110593
1.6242    0.0112182
1.64968    0.0113771
1.67516    0.011536
1.70382    0.0116949
1.73248    0.0117903
1.75159    0.0120445
1.78025    0.0122034
1.80573    0.0123623
1.82803    0.012553
1.85987    0.0126801
1.88535    0.0128072
1.91083    0.0129661
1.92675    0.0132521
1.94904    0.013411
1.98089    0.0134746
2.00955    0.0134746
2.0414    0.0135381
2.07006    0.0136017
2.09236    0.0137924
2.11783    0.0138559
2.14331    0.0140466
2.17197    0.0141419
2.20382    0.0141737
2.23248    0.0142055
2.25159    0.014428
2.27389    0.0145233
2.28344    0.0142055
2.30255    0.0140148
2.32803    0.0141102
2.35669    0.0140784
2.38535    0.0140148
2.40764    0.0139513
2.42994    0.0138242
2.45223    0.0140148
2.48089    0.0140148
2.50955    0.0138877
2.53503    0.013697
2.56688    0.0135699
2.59236    0.0134746
2.62102    0.0133157
2.6465    0.0131568
2.67197    0.0129979
2.69745    0.0128072
2.71975    0.0126165
2.74204    0.0123941
2.76115    0.0121716
2.78662    0.0119174
2.80892    0.0117267
2.83121    0.0115042
2.8535    0.0112818
2.87261    0.0110275
2.8949    0.0108051
2.9172    0.0106462
2.93631    0.0103919
2.95541    0.0101377
2.97452    0.00988347
2.99045    0.00962924
2.99363    0.00931144
2.99682    0.00867585
3          0.00645127
3.00318    0.00549788
3.00637    0.0039089
3.00955    0.00330508
3.03185    0.00311441
3.06051    0.00301907
3.09236    0.00295551
3.12102    0.00289195
3.15287    0.00282839
3.18471    0.00276483
3.21338    0.00270127
3.24522    0.00263771
3.27389    0.00254237
3.30573    0.00244703
3.33439    0.00238347
3.36624    0.00228814
3.3949    0.0021928
3.42675    0.00209746
3.45541    0.00197034
3.48408    0.001875
